event_id,customer_id,event_timestamp,event_date,charge_type,service_type,amount,currency,channel,plan_type,status
444f1160-44d7-47da-b3aa-8b87256433bd,8ade3996-c624-4678-9fdc-5c3e8646f16c,2025-05-12 19:18:15,2025-05-12,voice_charge,voice,377.35,SDG,ussd,postpaid,rated
8a035712-c0b0-457a-9789-3db80a1e4596,2fef5c66-c7bc-4ee2-b674-93e67bc7add6,2025-05-11 08:04:49,2025-05-11,sms_charge,voice,13.66,SDG,agent,postpaid,rated
ae2f1b98-b58f-42c7-a095-31aafbe75fe7,10084a30-64ec-4da3-85ca-34e9900df00d,2025-06-08 04:46:11,2025-06-08,vas_charge,roaming,343.0,SDG,app,hybrid,rated
68cf3648-7fbe-4ec4-90c5-27c41d705201,22a8c4ff-e821-417e-9a26-7a4d9b72bd37,2025-04-02 20:57:41,2025-04-02,roaming_charge,vas,203.24,SDG,agent,postpaid,rated
08c16f67-1d09-4bac-8b76-06b65dbf120c,9719526a-65a6-4def-a5c5-59c1b0b49476,2025-04-09 10:52:08,2025-04-09,penalty_fee,voice,14.11,SDG,ivr,postpaid,rated
9330e68d-da42-4c2b-852e-5c86f8373f69,5b8099d5-1ec8-486b-9cf0-6a3c457f9f57,2025-05-14 00:22:16,2025-05-14,sms_charge,vas,331.94,SDG,system,prepaid,rated
26fb7529-84ee-4190-b991-1f5d5312e261,46f7d75f-ee47-494f-8a52-f05e29af6367,2025-04-10 13:27:23,2025-04-10,vas_charge,roaming,427.69,SDG,ivr,prepaid,failed
3966273b-9f7f-4ee3-9019-f93f9868680d,582df250-f9a9-48ae-9168-14e6d2827bb2,2025-06-01 19:30:48,2025-06-01,bundle_purchase,voice,495.12,SDG,app,postpaid,rated
4f425c7c-a353-4d7b-b332-ebe3566df6e5,66e94120-e396-46cb-aacf-d80e4514a702,2025-05-31 01:18:31,2025-05-31,balance_topup,voice,440.64,SDG,auto_renew,postpaid,rated
466bbadf-1cb3-4469-b2df-e40b49918a70,6e407bba-87ce-4108-99fb-8890c562fd0e,2025-05-08 02:30:37,2025-05-08,voice_charge,voice,403.72,SDG,app,postpaid,rated
9e996dde-21df-4bd9-97c6-30eda51f3d6a,bc5e2b3f-c903-4c8f-8db1-e442144e53b0,2025-04-25 19:08:14,2025-04-25,roaming_charge,vas,306.17,SDG,auto_renew,prepaid,rated
11969343-3023-4d1c-a37e-6be72b267d44,922b4203-418a-47de-9641-30c5a35fbfff,2025-04-04 00:18:49,2025-04-04,penalty_fee,sms,247.73,SDG,ivr,hybrid,rated
c7fd2761-bf56-46fd-8051-738c0df504ec,aca69ae8-9f68-4ab2-af16-208e2a8022dd,2025-04-11 08:44:52,2025-04-11,promotional_credit,roaming,472.11,SDG,agent,prepaid,pending
f9213253-f71b-4551-a5d9-90a941e4a817,dab4856f-7674-4807-9acb-31a2d02244b7,2025-04-02 16:35:14,2025-04-02,roaming_charge,roaming,463.22,SDG,system,prepaid,failed
e01923e4-37fb-46f7-a3fb-09de8ca4569e,f9c0f052-a5af-4cce-b463-efb43da8f6ee,2025-04-03 16:13:15,2025-04-03,vas_charge,vas,436.9,SDG,system,postpaid,rated
